season,salary_cap,sc_defined_pct,sc_min,sc_max,bri,tv_guess,nontv,games,teams,benefits,resid_benefits,addtl_benefits,salaries_benefits,salaries,overage,escrow,adj,adjustment
1985,3600000,,NA,,NA,32975000,NA,82,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,4233000,,NA,,NA,32975000,NA,82,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,4945000,,NA,,NA,55750000,NA,82,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,6164000,,NA,,NA,55750000,NA,82,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,7232000,,NA,,NA,68250000,NA,82,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,9802000,,NA,,NA,68250000,NA,82,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,11871000,,NA,,NA,219000000,NA,82,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,12500000,,NA,,NA,219000000,NA,82,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,14000000,,NA,,NA,219000000,NA,82,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,15175000,,NA,,NA,219000000,NA,82,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,15964000,,NA,,NA,286500000,NA,82,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23000000,,23000000,,NA,296500000,NA,82,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,24363000,,24300000,,NA,290000000,NA,82,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,26900000,,25000000,,1564137931.03449,274000000,1290137931.03449,82,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,30000000,,30000000,,NA,529000000,NA,50,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,34000000,,34000000,,2257000000,586000000,1671000000,82,29,71000000,71000000,0,1380000000,1309000000,NA,NA,NA,NA
2001,35500000,,0,,2451032763.532763,643000000,1808032763.532763,82,29,70000000,70000000,0,1593171296.2962961,1523171296.2962961,NA,NA,NA,NA
2002,42500000,,0,,2667000000,700000000,1967000000,82,29,72143518.51851869,72143518.51851869,0,1598000000,1525856481.4814813,131000000,153000000,0,NA
2003,40271000,,0,,2662000000,730000000,1932000000,82,29,93400000,93400000,0,1744000000,1650600000,280000000,174400000,-105600000,NA
2004,43840000,,0,,2756000000,745000000,2011000000,82,29,102317129.62962985,102317129.62962985,0,1748000000,1645682870.3703701,232000000,165400000,-66600000,NA
2005,43870000,,0,,3037000000,760000000,2277000000,82,30,112661032,112661032,0,1834000000,1721338968,103000000,183000000,0,NA
2006,49500000,,0,,3174000000,775000000,2399000000,82,30,104000000,104000000,0,1960000000,1856000000,151000000,189000000,0,NA
2007,53135000,,0,,3384000000,790000000,2594000000,82,30,113000000,113000000,0,2084000000,1971000000,155000000,177000000,0,NA
2008,55630000,,0,,3519000000,805000000,2714000000,82,30,115000000,115000000,0,2169000000,2054000000,163400000,184900000,0,NA
2009,58680000,,0,,3608000000,825000000,2783000000,82,30,130800000,130800000,0,2276800000,2146000000,219800000,194000000,-25800000,NA
2010,57700000,,0,,3643000000,855000000,2788000000,82,30,132700000,132700000,0,2246700000,2114000000,170200000,191800000,0,NA
2011,58044000,,0,,3817000000,885000000,2932000000,82,30,136800000,136800000,0,2149800000,2013000000,-26000000,162100000,26000000,NA
2012,58044000,,58044000,,3375000000,915000000,2460000000,66,30,173800000,140050000,33750000,1783800000,1610000000,57000000,162000000,0,NA
2013,58044000,,58044000,,4293000000,945000000,3348000000,82,30,204900000,161970000,42930000,2313900000,2109000000,168700000,212200000,0,0
2014,58679000,,0,,4522000000,975000000,3547000000,82,30,207400000,162180000,45220000,2341400000,2134000000,76400000,214400000,0,0
2015,63065000,,0,,4840000000,1005000000,3835000000,82,30,206800000,158400000,48400000,2381800000,2175000000,-57298826,218600000,57298826,57298826
2016,70000000,,0,,5289000000,1035000000,4254000000,82,30,212000000,159110000,52890000,2558000000,2346000000,-130900000,235800000,130900000,130500000
2017,94143000,,0,,6574338900.012548,2100000000,4474338900.012548,82,30,269496078,203752688.99987453,65743389.00012547,3232212136,2962716058,-120700703,296271606,120700703,120700703
2018,99093000,,0,,7147000000,2225000000,4922000000,82,30,297000000,225530000,71470000,3646000000,3349000000,1500000,338000000,0,1030000
2019,101869000,,0,,7678000000,2350000000,5328000000,82,30,354000000,277220000,76780000,3977000000,3623000000,60700000,369000000,0,61220000
2020,109140000,,0,,6865000000,2475000000,4390000000,70.6,30,337000000,268350000,68650000,4126000000,3789000000,625000000,384400000,-240600000,624850000
2021,109140000,,0,,5710000000,2600000000,3110000000,72,30,165000000,107900000,57100000,4102000000,3937000000,1285000000,622000000,-663000000,1284695000
2022,112414000,,112414000,,8892000000,2725000000,6167000000,82,30,280000000,191080000,88920000,4370000000,4090000000,-165000000,453000000,165000000,-164920000
2023,123655000,,115786000,,9400000000,2850000000,6550000000,82,30,NA,NA,NA,4810000000,NA,NA,NA,NA,NA
2024,136021000,,127365000,,NA,2975000000,NA,82,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,140102000,,140102000,,NA,3100000000,NA,82,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,144305000,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
