away,away_abbrv,away_score,home,home_abbrv,home_score,season,date
Milwaukee,MIL,98,Atlanta,ATL,101,1986,1986-01-20
LA Lakers,LAL,133,Chicago,CHI,118,1986,1986-01-20
Phoenix,PHO,93,Cleveland,CLE,108,1986,1986-01-20
Detroit,DET,99,Indiana,IND,105,1986,1986-01-20
New York,NYK,93,Philadelphia,PHI,103,1986,1986-01-20
Houston,HOU,127,Cleveland,CLE,103,1987,1987-01-19
Portland,POR,116,Denver,DEN,118,1987,1987-01-19
Atlanta,ATL,98,Detroit,DET,108,1987,1987-01-19
Chicago,CHI,95,Indiana,IND,109,1987,1987-01-19
LA Lakers,LAL,126,New Jersey,NJN,115,1987,1987-01-19
Boston,BOS,109,New York,NYK,111,1987,1987-01-19
Phoenix,PHO,104,Philadelphia,PHI,107,1987,1987-01-19
LA Clippers,LAC,106,San Antonio,SAS,113,1987,1987-01-19
Golden State,GSW,101,Boston,BOS,121,1988,1988-01-18
Washington,WSB,103,Chicago,CHI,117,1988,1988-01-18
Detroit,DET,123,Denver,DEN,116,1988,1988-01-18
Dallas,DAL,99,LA Clippers,LAC,87,1988,1988-01-18
Houston,HOU,110,LA Lakers,LAL,121,1988,1988-01-18
Phoenix,PHO,113,New Jersey,NJN,117,1988,1988-01-18
Atlanta,ATL,102,New York,NYK,110,1988,1988-01-18
Indiana,IND,105,Seattle,SEA,115,1988,1988-01-18
Phoenix,PHO,110,Cleveland,CLE,126,1989,1989-01-16
Sacramento,SAC,110,Denver,DEN,116,1989,1989-01-16
Boston,BOS,87,Detroit,DET,96,1989,1989-01-16
Seattle,SEA,117,Golden State,GSW,146,1989,1989-01-16
Houston,HOU,113,LA Lakers,LAL,124,1989,1989-01-16
San Antonio,SAS,106,New York,NYK,116,1989,1989-01-16
Charlotte,CHH,127,Philadelphia,PHI,122,1989,1989-01-16
Atlanta,ATL,117,Washington,WSB,106,1989,1989-01-16
San Antonio,SAS,89,Cleveland,CLE,92,1990,1990-01-15
Dallas,DAL,90,Denver,DEN,101,1990,1990-01-15
Golden State,GSW,105,Indiana,IND,144,1990,1990-01-15
Sacramento,SAC,91,LA Lakers,LAL,111,1990,1990-01-15
Chicago,CHI,106,New York,NYK,109,1990,1990-01-15
Charlotte,CHH,108,Phoenix,PHO,118,1990,1990-01-15
Houston,HOU,101,Seattle,SEA,105,1990,1990-01-15
Miami,MIA,111,Washington,WSB,105,1990,1990-01-15
Minnesota,MIN,110,Denver,DEN,115,1991,1991-01-21
Boston,BOS,90,Detroit,DET,101,1991,1991-01-21
LA Lakers,LAL,120,Indiana,IND,114,1991,1991-01-21
Chicago,CHI,117,Miami,MIA,106,1991,1991-01-21
Philadelphia,PHI,116,New York,NYK,117,1991,1991-01-21
Houston,HOU,94,Sacramento,SAC,97,1991,1991-01-21
Orlando,ORL,119,Washington,WSB,121,1991,1991-01-21
Boston,BOS,107,Cleveland,CLE,102,1992,1992-01-20
Charlotte,CHH,119,Golden State,GSW,135,1992,1992-01-20
Seattle,SEA,110,LA Lakers,LAL,116,1992,1992-01-20
Minnesota,MIN,106,Miami,MIA,121,1992,1992-01-20
Indiana,IND,97,New York,NYK,105,1992,1992-01-20
Washington,WSB,91,Philadelphia,PHI,99,1992,1992-01-20
Boston,BOS,93,Chicago,CHI,103,1993,1993-01-18
Sacramento,SAC,111,Golden State,GSW,107,1993,1993-01-18
Houston,HOU,110,LA Lakers,LAL,90,1993,1993-01-18
LA Clippers,LAC,94,Minnesota,MIN,93,1993,1993-01-18
Indiana,IND,97,New Jersey,NJN,100,1993,1993-01-18
Phoenix,PHO,103,New York,NYK,106,1993,1993-01-18
Orlando,ORL,118,Philadelphia,PHI,124,1993,1993-01-18
Utah,UTA,96,Seattle,SEA,106,1993,1993-01-18
Milwaukee,MIL,98,Atlanta,ATL,102,1994,1994-01-17
Philadelphia,PHI,91,Chicago,CHI,121,1994,1994-01-17
Orlando,ORL,107,Cleveland,CLE,114,1994,1994-01-17
Utah,UTA,109,Detroit,DET,94,1994,1994-01-17
Phoenix,PHO,99,Golden State,GSW,104,1994,1994-01-17
Minnesota,MIN,94,New York,NYK,106,1994,1994-01-17
San Antonio,SAS,100,Washington,WSB,87,1994,1994-01-17
